		Sample	Sample ID	Sample Amount	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Nitrogen	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	Carbon	
					Reten. Time	Response	Height	Weight	Weight	Peak	Element	Carbon Weight Ratio	Reten. Time	Response	Height	Weight	Weight	Peak	Element	Carbon Weight Ratio	
					[min]		[mV]	[mg]	[%]	Type	Name		[min]		[mV]	[mg]	[%]	Type	Name	
Jones_EA_KMS_Run1_2014_20170110_001	U-PAD1 - 1	bypass		0.000	2.033	21.988	1.008	0.008	100.00	Ordnr	Nitrogen	???									
Jones_EA_KMS_Run1_2014_20170110_002	U-PAD1 - 1	bypass		0.000	2.033	13.203	0.585	0.003	100.00	Ordnr	Nitrogen	???									
Jones_EA_KMS_Run1_2014_20170110_003	U-PAD1 - 1	timing std		0.000	1.940	71.198	4.489	0.034	12.34	Ordnr	Nitrogen	7.103	3.273	1136.655	70.088	0.241	87.66	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run1_2014_20170110_004	U-PAD1 - 1	blank		0.000	2.013	14.746	0.717	0.004	100.00	Ordnr	Nitrogen	???									
CALIB\Jones_EA_KMS_Run1_2014_20170110_005	U-PAD1 - 1	std1_p2e8		0.100	1.947	27.161	1.479	0.010	10.29	Ordnr	Nitrogen	7.409	3.300	328.200	19.889	0.076	76.21	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run1_2014_20170110_006	U-PAD1 - 1	std2_p2f10		0.209	1.940	43.851	2.599	0.019	9.20	Ordnr	Nitrogen	7.085	3.287	623.292	38.626	0.136	65.19	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run1_2014_20170110_007	U-PAD1 - 1	std3_p2f4		0.341	1.933	69.826	4.617	0.033	9.72	Ordnr	Nitrogen	7.500	3.267	1175.639	73.103	0.249	72.92	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run1_2014_20170110_008	U-PAD1 - 1	std4_p2f9		0.568	1.927	116.723	7.958	0.058	10.26	Ordnr	Nitrogen	6.970	3.233	1950.211	120.497	0.406	71.52	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run1_2014_20170110_009	U-PAD1 - 1	std5_p2e11		0.629	1.927	120.410	8.210	0.060	9.58	Ordnr	Nitrogen	7.086	3.227	2052.135	126.028	0.427	67.88	Ordnr	Carbon	1.000	
CALIB\Jones_EA_KMS_Run1_2014_20170110_010	U-PAD1 - 1	std6_p3c7		0.983	1.933	200.975	14.095	0.103	10.52	Ordnr	Nitrogen	6.741	3.193	3380.740	201.731	0.697	70.94	Ordnr	Carbon	1.000	
