Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon  area_%,Comments,Flag
bypass1,Area,Jones_JS_POC_run10_031615_001.prm,ByPass,0,19.7017,0.0041,100,0,0,0,???,0,0,,0
bypass2,Area,Jones_JS_POC_run10_031615_002.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
timingstd_G11_white,Area,Jones_JS_POC_run10_031615_003.prm,Unknown,1.013,277.2932,0.1061,10.472,4821.5395,0.7396,73.0069,0.0575,0.054383663,0.945616337,,0
blank1_A7_white,Area,Jones_JS_POC_run10_031615_004.prm,Blank,0,0,0,0,0,0,0,???,0,0,,0
std1_G9_white,Area,Jones_JS_POC_run10_031615_005.prm,Standard,0.114,41.2648,0.0127,11.1109,563.9412,0.0728,63.8271,0.0732,0.068183065,0.931816935,,0
std2_C8_blue,Area,Jones_JS_POC_run10_031615_006.prm,Standard,0.36,102.9289,0.0371,10.2977,1734.2074,0.256,71.1229,0.0594,0.056026817,0.943973183,,0
std3_C12_blue,Area,Jones_JS_POC_run10_031615_007.prm,Standard,0.598,163.842,0.0612,10.2308,2848.5088,0.4306,71.9995,0.0575,0.05439008,0.94560992,,0
std4_G12_white,Area,Jones_JS_POC_run10_031615_008.prm,Standard,1.13,274.6922,0.1051,9.2967,4802.1567,0.7365,65.1791,0.0572,0.05410683,0.94589317,,0
std5_C1_blue,Area,Jones_JS_POC_run10_031615_009.prm,Standard,1.658,442.2491,0.1714,10.3358,7669.5042,1.1856,71.5072,0.0577,0.054519545,0.945480455,,0
std6_D1_blue,Area,Jones_JS_POC_run10_031615_010.prm,Standard,2.049,546.9791,0.2128,10.3864,9431.5095,1.4615,71.3296,0.058,0.054815827,0.945184173,,0
std7_B9_blue,Area,Jones_JS_POC_run10_031615_011.prm,Standard,2.623,725.0978,0.2833,10.8011,1.20E+04,1.8556,70.7429,0.0607,0.057206486,0.942793514,,0
blank2_A8_white,Area,Jones_JS_POC_run10_031615_012.prm,Unknown,0,0,0,0,0,0,0,???,0,0,,0
P0694_F1,Area,Jones_JS_POC_run10_031615_013.prm,Unknown,0,31.1764,0.0087,6.8517,852.2615,0.1179,93.1483,0.0366,0.03528986,0.96471014,,0
P0701_F4,Area,Jones_JS_POC_run10_031615_014.prm,Unknown,0,33.4295,0.0096,6.5745,967.2538,0.1359,93.4255,0.0346,0.033406673,0.966593327,,0
P0742_F8,Area,Jones_JS_POC_run10_031615_015.prm,Unknown,0,47.2422,0.015,9.7392,988.8878,0.1393,90.2608,0.0478,0.045594858,0.954405142,,0
P0757_F9,Area,Jones_JS_POC_run10_031615_016.prm,Unknown,0,55.0563,0.0181,5.016,2290.8423,0.3432,94.984,0.024,0.023469173,0.976530827,,0
P0759_F10,Area,Jones_JS_POC_run10_031615_017.prm,Unknown,0,104.2789,0.0376,12.4528,1787.4663,0.2644,87.5472,0.0583,0.055123121,0.944876879,,0
