Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
bypass1,Area,Jones_JS_POC_run14_040715_001.prm,ByPass,0,22.7249,0.007,100,0,0,0,???,1,0,,0
bypass2,Area,Jones_JS_POC_run14_040715_002.prm,ByPass,0,16.5683,0.0047,100,0,0,0,???,1,0,,0
timingstd_H8,Area,Jones_JS_POC_run14_040715_003.prm,Unknown,1.031,283.2365,0.1054,10.2212,4926.2879,0.7357,71.3594,0.0575,0.054368975,0.945631025,,0
blank1_A1_red,Area,Jones_JS_POC_run14_040715_004.prm,Blank,0,0,0,0,0,0,0,???,0,0,,0
std1_G4,Area,Jones_JS_POC_run14_040715_005.prm,Standard,0.121,43.6263,0.0149,12.2902,614.5834,0.0803,66.335,0.071,0.066280245,0.933719755,,0
std2_F12,Area,Jones_JS_POC_run14_040715_006.prm,Standard,0.267,79.7288,0.0285,10.6773,1304.0373,0.1851,69.316,0.0611,0.057617252,0.942382748,,0
std3_F1,Area,Jones_JS_POC_run14_040715_007.prm,Standard,0.429,121.4154,0.0443,10.3158,2088.2215,0.3043,70.9283,0.0581,0.054948123,0.945051877,,0
std4_G10,Area,Jones_JS_POC_run14_040715_008.prm,Standard,0.755,211.4371,0.0783,10.3655,3708.636,0.5506,72.9288,0.057,0.05393703,0.94606297,,0
std5_H10,Area,Jones_JS_POC_run14_040715_009.prm,Standard,1.132,304.8129,0.1135,10.0292,5375.6676,0.804,71.0272,0.0567,0.053659704,0.946340296,,0
std6_C10,Area,Jones_JS_POC_run14_040715_010.prm,Standard,1.432,387.5082,0.1448,10.1095,6816.9708,1.0231,71.4476,0.0568,0.053787123,0.946212877,,0
std7_H9,Area,Jones_JS_POC_run14_040715_011.prm,Standard,2.075,584.7366,0.2193,10.5671,9743.485,1.468,70.7474,0.06,0.05661542,0.94338458,,0
blank2_A2_red,Area,Jones_JS_POC_run14_040715_012.prm,Unknown,0,0,0,0,0,0,0,???,0,0,,0
M1,Area,Jones_JS_POC_run14_040715_013.prm,Unknown,0,21.1877,0.0064,4.75,930.1846,0.1282,95.25,0.0228,0.022270672,0.977729328,,0
HL2,Area,Jones_JS_POC_run14_040715_014.prm,Unknown,0,52.1538,0.0181,0.8126,1.46E+04,2.2084,99.1874,0.0036,0.003557035,0.996442965,,0
HL3,Area,Jones_JS_POC_run14_040715_015.prm,Unknown,0,25.754,0.0081,0.474,1.13E+04,1.7049,99.526,0.0023,0.002273932,0.997726068,,0
LL1,Area,Jones_JS_POC_run14_040715_016.prm,Unknown,0,93.7071,0.0338,3.456,6295.6856,0.9439,96.544,0.0149,0.014666042,0.985333958,tins possibly leaking ,1
LL2,Area,Jones_JS_POC_run14_040715_017.prm,Unknown,0,107.5944,0.039,3.3633,7464.4939,1.1216,96.6367,0.0144,0.014209343,0.985790657,tins possibly leaking ,1
LL3,Area,Jones_JS_POC_run14_040715_018.prm,Unknown,0,111.8543,0.0406,3.3728,7746.1784,1.1644,96.6272,0.0144,0.01423439,0.98576561,tins possibly leaking ,1
P1137_G1,Area,Jones_JS_POC_run14_040715_019.prm,Unknown,0,27.9298,0.0089,12.886,484.2416,0.0605,87.114,0.0577,0.054532135,0.945467865,,0
P1138_G2,Area,Jones_JS_POC_run14_040715_020.prm,Unknown,0,26.1488,0.0083,13.8323,425.445,0.0515,86.1677,0.0615,0.057903364,0.942096636,,0
P1145_G9,Area,Jones_JS_POC_run14_040715_021.prm,Unknown,0,47.7054,0.0164,13.838,758.8035,0.1022,86.162,0.0629,0.059150494,0.940849506,,0
