Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
bypass1,Area,Jones_JS_ST_POC_run6_030415_001.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
bypass2,Area,Jones_JS_ST_POC_run6_030415_002.prm,ByPass,0,0,0,0,0,0,0,???,0,0,,0
timingstd_C3,Area,Jones_JS_ST_POC_run6_030415_003.prm,Unknown,1.049,327.039,0.1175,11.1978,5263.658,0.7954,75.8261,0.0621,5.8497,94.1503,,0
blank1_A3,Area,Jones_JS_ST_POC_run6_030415_004.prm,Blank,0,0,0,0,0,0,0,???,0,0,,0
std1_G4,Area,Jones_JS_ST_POC_run6_030415_005.prm,Standard,0.228,76.842,0.0235,10.2947,1146.9519,0.1499,65.7256,0.067,6.279,93.721,,0
std2_F11,Area,Jones_JS_ST_POC_run6_030415_006.prm,Standard,0.301,92.026,0.0292,9.6931,1473.8028,0.2011,66.8138,0.0624,5.8771,94.1229,,0
std3_E2,Area,Jones_JS_ST_POC_run6_030415_007.prm,Standard,0.546,164.9903,0.0566,10.3639,2698.7383,0.3932,72.0142,0.0611,5.7614,94.2386,,0
std4_E1,Area,Jones_JS_ST_POC_run6_030415_008.prm,Standard,0.765,226.3629,0.0796,10.4109,3708.5285,0.5515,72.0978,0.061,5.7527,94.2473,,0
std5_E10,Area,Jones_JS_ST_POC_run6_030415_009.prm,Standard,1.201,352.8868,0.1272,10.5891,5734.637,0.8693,72.379,0.0615,5.7969,94.2031,,0
std6_D11,Area,Jones_JS_ST_POC_run6_030415_010.prm,Standard,1.925,521.575,0.1905,9.8985,8987.818,1.3794,71.6581,0.058,5.4848,94.5152,,0
std7_E4,Area,Jones_JS_ST_POC_run6_030415_011.prm,Standard,2.959,827.6908,0.3055,10.326,1.35E+04,2.0895,70.6145,0.0612,5.7638,94.1209,,0
blank2_A4,Area,Jones_JS_ST_POC_run6_030415_012.prm,Unknown,0,0,0,0,0,0,0,???,0,0,,0
st121_C1,Area,Jones_JS_ST_POC_run6_030415_013.prm,Unknown,0,46.512,0.0121,5.5468,1502.8446,0.2057,94.4532,0.0309,3.002,96.998,,0
st122_C2,Area,Jones_JS_ST_POC_run6_030415_014.prm,Unknown,0,67.6012,0.02,9.2386,1444.3181,0.1965,90.7614,0.0468,4.4712,95.5288,,0
st123_C3,Area,Jones_JS_ST_POC_run6_030415_015.prm,Unknown,0,59.7849,0.0171,9.1361,1273.5803,0.1697,90.8639,0.0469,4.3428,92.5129,,0
st124_C4,Area,Jones_JS_ST_POC_run6_030415_016.prm,Unknown,0,80.8535,0.025,11.4539,1422.7479,0.1931,88.5461,0.0568,5.2393,92.1938,,0
st125_C5,Area,Jones_JS_ST_POC_run6_030415_017.prm,Unknown,0,174.1397,0.06,10.4163,3483.3019,0.5162,89.5837,0.05,4.7612,95.2388,,0
st126_C6,Area,Jones_JS_ST_POC_run6_030415_018.prm,Unknown,0,57.7376,0.0163,8.7478,1275.2851,0.17,91.2522,0.0453,4.2667,94.2415,,0
st127_C7,Area,Jones_JS_ST_POC_run6_030415_019.prm,Unknown,0,70.4396,0.0211,12.6575,1118.3581,0.1454,87.3425,0.063,5.4931,87.2133,,0
st128_C8,Area,Jones_JS_ST_POC_run6_030415_020.prm,Unknown,0,58.8102,0.0167,9.5037,1205.2728,0.159,90.4963,0.0488,4.5705,93.6696,,0
st129_C9,Area,Jones_JS_ST_POC_run6_030415_021.prm,Unknown,0,97.9184,0.0314,16.7074,1189.2686,0.1565,83.2926,0.0823,7.3421,89.174,,0
st130_C10,Area,Jones_JS_ST_POC_run6_030415_022.prm,Unknown,0,61.9497,0.0179,10.9679,1116.7574,0.1451,89.0321,0.0555,5.0904,91.7632,,0
st131_C11,Area,Jones_JS_ST_POC_run6_030415_023.prm,Unknown,0,211.3302,0.074,11.4176,3852.2868,0.5741,88.5824,0.0549,5.2005,94.7995,,0
st132_C12,Area,Jones_JS_ST_POC_run6_030415_024.prm,Unknown,0,99.5836,0.032,12.5533,1613.5259,0.223,87.4467,0.0617,5.813,94.187,,0
control_E7,Area,Jones_JS_ST_POC_run6_030415_025.prm,Unknown,1.201,330.0717,0.1186,9.8754,5799.0537,0.8794,73.2201,0.0569,5.3597,94.1653,,0
st133_D1,Area,Jones_JS_ST_POC_run6_030415_026.prm,Unknown,0,120.0879,0.0397,12.878,1904.8371,0.2687,87.122,0.063,5.678,90.0645,,0
st134_D2,Area,Jones_JS_ST_POC_run6_030415_027.prm,Unknown,0,136.0965,0.0457,15.8305,1741.9235,0.2432,84.1695,0.0781,7.109,90.9892,,0
st135_D3,Area,Jones_JS_ST_POC_run6_030415_028.prm,Unknown,0,149.8907,0.0509,11.2296,2757.9372,0.4025,88.7704,0.0543,5.0527,92.9688,,0
