Summary Table																				
		Sample	Sample ID	Sample Amount	Nitrogen								Carbon							
					"Reten. Time
[min]"	Response	"Height
[mV]"	"Weight
[mg]"	"Weight
[%]"	"Peak
Type"	"Element
Name"	Carbon Weight Ratio	"Reten. Time
[min]"	Response	"Height
[mV]"	"Weight
[mg]"	"Weight
[%]"	"Peak
Type"	"Element
Name"	Carbon Weight Ratio
Jones_EA_KMS_Run8_2015_20161205_001	U-PAD1 - 1	bypass		0.000	2.040	10.194	0.461	0.001	100.00	Ordnr	Nitrogen	???								
Jones_EA_KMS_Run8_2015_20161205_002	U-PAD1 - 1	bypass		0.000	2.073	7.798	0.332	N/A	N/A	Error	Nitrogen	???								
Jones_EA_KMS_Run8_2015_20161205_003	U-PAD1 - 1	timing std		0.000	1.920	133.854	8.129	0.064	12.68	Ordnr	Nitrogen	6.888	3.260	2283.695	128.077	0.440	87.32	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run8_2015_20161205_004	U-PAD1 - 1	blank		0.000	2.060	10.410	0.468	0.001	38.16	Ordnr	Nitrogen	1.620	3.333	4.433	0.261	0.002	61.84	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run8_2015_20161205_005	U-PAD1 - 1	std1_p1e8		0.124	1.933	32.628	1.665	0.012	10.00	Ordnr	Nitrogen	6.903	3.327	440.289	25.585	0.086	69.04	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run8_2015_20161205_006	U-PAD1 - 1	std2_p2c10		0.272	1.927	63.455	3.624	0.028	10.33	Ordnr	Nitrogen	7.019	3.300	1020.187	58.646	0.197	72.48	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run8_2015_20161205_007	U-PAD1 - 1	std3_p2d12		0.384	1.920	84.630	4.976	0.039	10.12	Ordnr	Nitrogen	6.934	3.287	1396.047	80.057	0.269	70.16	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run8_2015_20161205_008	U-PAD1 - 1	std4_p2c12		0.517	1.927	286.869	18.127	0.142	27.42	Ordnr	Nitrogen	6.633	3.187	4883.511	259.783	0.940	181.85	Ordnr	Carbon	1.000
CALIB\Jones_EA_KMS_Run8_2015_20161205_009	U-PAD1 - 1	std5_p3b3		0.834	2.047	9.953	0.414	0.001	0.10	Ordnr	Nitrogen	???								
CALIB\Jones_EA_KMS_Run8_2015_20161205_010	U-PAD1 - 1	std6_p2h10		1.191	1.927	251.500	16.173	0.124	10.39	Ordnr	Nitrogen	6.846	3.200	4400.306	237.606	0.847	71.14	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_011	U-PAD1 - 1	blank		0.000	2.033	11.819	0.482	0.002	43.50	Ordnr	Nitrogen	1.299	3.340	7.440	0.421	0.002	56.50	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_012	U-PAD1 - 1	sed36		0.000	1.940	24.838	1.275	0.008	9.22	Ordnr	Nitrogen	9.848	3.327	427.257	24.724	0.083	90.78	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_013	U-PAD1 - 1	sed35		0.000	1.967	29.166	1.441	0.011	11.07	Ordnr	Nitrogen	8.031	3.340	439.501	25.222	0.085	88.93	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_014	U-PAD1 - 1	sed34		0.000	1.960	27.758	1.343	0.010	10.79	Ordnr	Nitrogen	8.271	3.327	421.935	24.182	0.082	89.21	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_015	U-PAD1 - 1	sed33		0.000	1.967	20.251	1.074	0.006	7.67	Ordnr	Nitrogen	12.031	3.340	377.081	21.897	0.073	92.33	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_016	U-PAD1 - 1	sed38		0.000	1.967	27.886	1.509	0.010	9.07	Ordnr	Nitrogen	10.021	3.340	515.633	29.850	0.100	90.93	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_017	U-PAD1 - 1	sed37		0.000	1.973	22.519	1.007	0.007	10.86	Ordnr	Nitrogen	8.205	3.347	304.838	17.541	0.060	89.14	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_018	U-PAD1 - 1	sed40		0.000	1.953	42.794	2.299	0.018	10.35	Ordnr	Nitrogen	8.662	3.333	786.635	42.470	0.152	89.65	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_019	U-PAD1 - 1	sed39		0.000	1.953	36.941	1.880	0.015	11.00	Ordnr	Nitrogen	8.090	3.333	609.102	34.310	0.118	89.00	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_020	U-PAD1 - 1	sed26		0.000	1.960	39.365	2.057	0.016	10.72	Ordnr	Nitrogen	8.331	3.333	680.814	38.824	0.132	89.28	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_021	U-PAD1 - 1	sed25		0.000	1.960	32.646	1.653	0.012	10.64	Ordnr	Nitrogen	8.400	3.347	537.196	30.628	0.104	89.36	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_022	U-PAD1 - 1	sed28		0.000	1.947	45.438	2.446	0.019	11.64	Ordnr	Nitrogen	7.593	3.333	742.104	40.954	0.144	88.36	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_023	U-PAD1 - 1	sed27		0.000	1.953	42.002	1.847	0.017	13.20	Ordnr	Nitrogen	6.577	3.333	582.372	32.804	0.113	86.80	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_024	U-PAD1 - 1	sed22		0.000	1.947	32.814	1.738	0.012	10.50	Ordnr	Nitrogen	8.520	3.333	548.742	30.938	0.106	89.50	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_025	U-PAD1 - 1	control1_p2g10		0.611	1.933	139.162	8.080	0.067	10.90	Ordnr	Nitrogen	6.698	3.273	2314.667	128.465	0.446	73.01	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_026	U-PAD1 - 1	sed21		0.000	1.947	36.536	1.760	0.014	10.98	Ordnr	Nitrogen	8.111	3.333	601.994	34.035	0.117	89.02	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_027	U-PAD1 - 1	sed2		0.000	1.967	38.468	2.144	0.015	10.41	Ordnr	Nitrogen	8.608	3.340	683.208	38.071	0.132	89.59	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_028	U-PAD1 - 1	sed4		0.000	1.967	25.361	1.237	0.009	9.66	Ordnr	Nitrogen	9.353	3.340	418.479	24.066	0.081	90.34	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_029	U-PAD1 - 1	sed3		0.000	1.960	32.963	1.313	0.013	13.70	Ordnr	Nitrogen	6.300	3.340	407.015	23.310	0.079	86.30	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_030	U-PAD1 - 1	sed1		0.000	1.960	50.315	2.768	0.021	11.63	Ordnr	Nitrogen	7.597	3.340	840.478	47.176	0.163	88.37	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_031	U-PAD1 - 1	sed16		0.000	1.973	45.096	2.328	0.019	10.64	Ordnr	Nitrogen	8.394	3.347	813.316	45.942	0.157	89.36	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_032	U-PAD1 - 1	sed15		0.000	1.960	41.600	1.983	0.017	11.35	Ordnr	Nitrogen	7.814	3.340	684.462	38.797	0.133	88.65	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_033	U-PAD1 - 1	sed14		0.000	1.973	29.094	1.449	0.011	9.67	Ordnr	Nitrogen	9.347	3.347	510.487	28.570	0.099	90.33	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_034	U-PAD1 - 1	sed12		0.000	1.967	29.648	1.506	0.011	8.81	Ordnr	Nitrogen	10.354	3.340	581.219	32.883	0.113	91.19	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_035	U-PAD1 - 1	sed11		0.000	1.953	75.965	4.430	0.034	12.02	Ordnr	Nitrogen	7.319	3.320	1306.141	71.470	0.252	87.98	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_036	U-PAD1 - 1	sed10		0.000	1.967	34.632	1.752	0.013	9.63	Ordnr	Nitrogen	9.386	3.347	650.147	36.749	0.126	90.37	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_037	U-PAD1 - 1	sed9		0.000	1.953	35.554	2.041	0.014	9.72	Ordnr	Nitrogen	9.292	3.333	666.272	38.309	0.129	90.28	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_038	U-PAD1 - 1	sed13		0.000	1.980	23.311	0.987	0.008	10.48	Ordnr	Nitrogen	8.544	3.347	335.531	18.828	0.065	89.52	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_039	U-PAD1 - 1	control2_p1e5		0.201	1.933	50.873	2.698	0.022	10.79	Ordnr	Nitrogen	6.756	3.313	756.878	43.264	0.146	72.88	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_040	U-PAD1 - 1	P-1748		0.000	1.980	26.209	1.205	0.009	14.95	Ordnr	Nitrogen	5.689	3.347	265.428	15.091	0.052	85.05	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_041	U-PAD1 - 1	P-1743		0.000	1.947	59.746	2.974	0.026	14.55	Ordnr	Nitrogen	5.874	3.333	795.254	44.917	0.154	85.45	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_042	U-PAD1 - 1	P-1742		0.000	1.973	28.815	1.536	0.010	10.98	Ordnr	Nitrogen	8.108	3.353	436.214	24.977	0.085	89.02	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_043	U-PAD1 - 1	P-1744		0.000	1.973	24.328	1.218	0.008	11.70	Ordnr	Nitrogen	7.547	3.360	316.123	18.286	0.062	88.30	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_044	U-PAD1 - 1	P-1745		0.000	1.967	33.568	1.684	0.013	11.29	Ordnr	Nitrogen	7.857	3.340	521.335	29.530	0.101	88.71	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_045	U-PAD1 - 1	P-1729		0.000	1.947	29.731	1.595	0.011	10.92	Ordnr	Nitrogen	8.156	3.340	458.602	25.895	0.089	89.08	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_046	U-PAD1 - 1	P-1720		0.000	2.013	38.397	1.541	0.015	16.99	Ordnr	Nitrogen	4.886	3.353	384.837	21.608	0.075	83.01	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_047	U-PAD1 - 1	P-1716		0.000	1.973	57.031	2.989	0.025	14.14	Ordnr	Nitrogen	6.072	3.347	778.721	43.763	0.151	85.86	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_048	U-PAD1 - 1	P-1714		0.000	1.980	41.944	1.949	0.017	14.78	Ordnr	Nitrogen	5.768	3.367	509.237	28.789	0.099	85.22	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_049	U-PAD1 - 1	P-1713		0.000	2.020	39.841	1.644	0.016	15.18	Ordnr	Nitrogen	5.586	3.347	461.992	26.296	0.090	84.82	Ordnr	Carbon	1.000
Jones_EA_KMS_Run8_2015_20161205_050	U-PAD1 - 1	P-1712		0.000	1.980	47.681	2.452	0.020	13.24	Ordnr	Nitrogen	6.553	3.340	678.694	38.561	0.131	86.76	Ordnr	Carbon	1.000
