Sample #,Date Run,Abs885,Dilution factor,P Concentration (ug/L),Phosphorus (ug),
1,26-Jan,0.849,1,135.8196721,4.074590164,
3,28-Jan,0.635,1,99.7704918,2.993114754,
4,28-Jan,0.517,4,321.704918,9.651147541,
5,28-Jan,0.66,2,207.7377049,6.232131148,
6,28-Jan,0.909,1,144.6885246,4.340655738,
7,28-Jan,0.484,1,75.01639344,2.250491803,
8,28-Jan,1.38,2,443.8032787,13.31409836,??? Diluted too much - less than 1/2 dilution
8,28-Jan,0.502,10,779.6721311,23.39016393,
9,28-Jan,0.708,2,223.4754098,6.704262295,
10,28-Jan,0.725,1,114.5245902,3.435737705,
11,28-Jan,0.522,1,81.24590164,2.437377049,
12,28-Jan,1.077,1,172.2295082,5.166885246,
13,28-Jan,0.632,1,99.27868852,2.978360656,
14,28-Jan,1.004,2,320.5245902,9.615737705,
15,28-Jan,0.878,4,558.4262295,16.75278689,
16,28-Jan,0.888,1,141.2459016,4.237377049,
17,28-Jan,1.228,1,196.9836066,5.909508197,
18,28-Jan,0.56,1,87.47540984,2.624262295,
19,28-Jan,0.627,2,196.9180328,5.907540984,
20,28-Jan,0.889,2,282.8196721,8.484590164,
21,28-Jan,1.06,2,338.8852459,10.16655738,
22,28-Jan,1.03,2,329.0491803,9.87147541,
23,28-Jan,0.762,2,241.1803279,7.235409836,
24,28-Jan,0.265,1,39.1147541,1.173442623,
25,28-Jan,0.101,1,12.2295082,0.366885246,
26,28-Jan,0.613,1,96.16393443,2.884918033,
27,26-Jan,0.826,4,528.1967213,15.84590164,
28,28-Jan,0.919,1,146.3278689,4.389836066,
29,23-Jan,0.56,1,86.9516129,2.608548387,
30,28-Jan,1.026,2,327.7377049,9.832131148,
31,28-Jan,0.875,4,556.4590164,16.69377049,
32,28-Jan,0.737,2,232.9836066,6.989508197,
33,28-Jan,0.534,4,332.852459,9.98557377,
34,26-Jan,0.715,2,227.704918,6.831147541,
35,26-Jan,0.97,1,155.6557377,4.669672131,
36,26-Jan,0.624,2,197.8688525,5.936065574,
37,26-Jan,0.64,2,203.1147541,6.093442623,
38,26-Jan,0.711,1,113.1967213,3.395901639,
39,26-Jan,0.834,1,133.3606557,4.000819672,
40,26-Jan,0.745,1,118.7704918,3.563114754,
41,26-Jan,0.608,2,192.6229508,5.778688525,
42,26-Jan,0.785,2,250.6557377,7.519672131,
43,28-Jan,1.167,1,186.9836066,5.609508197,
44,26-Jan,0.958,1,153.6885246,4.610655738,
45,26-Jan,1.115,1,179.4262295,5.382786885,
46,26-Jan,0.825,1,131.8852459,3.956557377,
47,26-Jan,0.916,1,146.8032787,4.404098361,
48,26-Jan,0.668,4,424.5901639,12.73770492,
49,26-Jan,0.906,1,145.1639344,4.354918033,
50,26-Jan,1.174,1,189.0983607,5.67295082,
51,26-Jan,0.452,1,70.73770492,2.122131148,
52,26-Jan,0.312,1,47.78688525,1.433606557,
53,26-Jan,0.353,1,54.50819672,1.635245902,
54,26-Jan,0.38,1,58.93442623,1.768032787,
55,26-Jan,0.707,2,225.0819672,6.752459016,
56,26-Jan,0.955,2,306.3934426,9.191803279,
57,26-Jan,0.809,1,129.2622951,3.877868852,
58,28-Jan,0.658,1,103.5409836,3.106229508,
59,26-Jan,1.11,1,178.6065574,5.358196721,
60,26-Jan,0.943,1,151.2295082,4.536885246,
61,26-Jan,1.132,1,182.2131148,5.466393443,
62,26-Jan,0.746,2,237.8688525,7.136065574,
62,28-Jan,0.663,4,417.442623,12.52327869,
63,26-Jan,0.966,2,310,9.3,
64,26-Jan,1.19,2,383.442623,11.50327869,
65,26-Jan,0.931,1,149.2622951,4.477868852,
66,26-Jan,1.147,1,184.6721311,5.540163934,
67,26-Jan,0.708,2,225.4098361,6.762295082,
68,23-Jan,0.962,1,151.7903226,4.553709677,
69,26-Jan,0.916,1,146.8032787,4.404098361,
70,23-Jan,0.527,1,81.62903226,2.448870968,
71,23-Jan,1.196,1,189.5322581,5.685967742,
72,23-Jan,0.62,1,96.62903226,2.898870968,
73,23-Jan,0.88,2,277.1290323,8.313870968,
74,23-Jan,0.854,1,134.3709677,4.031129032,
75,23-Jan,0.78,1,122.4354839,3.673064516,
76,23-Jan,0.854,2,268.7419355,8.062258065,
77,23-Jan,0.698,1,109.2096774,3.276290323,
78,23-Jan,0.988,1,155.983871,4.679516129,
79,23-Jan,0.455,1,70.01612903,2.100483871,
80,23-Jan,0.386,1,58.88709677,1.766612903,
81,23-Jan,0.502,1,77.59677419,2.327903226,
