Sample #,Date Run,Abs885,Dilution factor,P Concentration (ug/L),Phosphorus (ug),,
1,16-Jan,1.053,1,162.7619048,4.882857143,,
2,16-Jan,1.227,1,190.3809524,5.711428571,,
3,16-Jan,0.897,1,138,4.14,,
4,16-Jan,1.348,1,209.5873016,6.287619048,,
4,28-Jan,1.18,1,187.2419355,5.617258065,Used two filters for 2014-ST4 (See above),
5,16-Jan,0.465,1,69.42857143,2.082857143,,
6,16-Jan,0.78,1,119.4285714,3.582857143,,
7,16-Jan,0.87,1,133.7142857,4.011428571,,
8,16-Jan,0.827,1,126.8888889,3.806666667,,
8,28-Jan,0.869,1,138.1311475,4.143934426,,
9,16-Jan,0.725,1,110.6984127,3.320952381,,
10,16-Jan,0.987,1,152.2857143,4.568571429,,
11,21-Jan,0.98,1,154.983871,4.649516129,,
12,21-Jan,0.812,1,127.8870968,3.836612903,,
13,21-Jan,0.257,1,38.37096774,1.151129032,,
15,21-Jan,0.341,1,51.91935484,1.557580645,,
16,21-Jan,0.342,1,52.08064516,1.562419355,,
17,21-Jan,0.628,2,196.4193548,5.892580645,,
19,21-Jan,0.547,2,170.2903226,5.108709677,,
20,28-Jan,0.815,2,256.7419355,7.702258065,,
21,21-Jan,0.621,1,97.08064516,2.912419355,,
22,19-Jan,0.546,1,84.77419355,2.543225806,,
23,19-Jan,0.513,1,79.4516129,2.383548387,,
24,21-Jan,0.79,1,124.3387097,3.73016129,,
25,19-Jan,0.255,1,37.83870968,1.13516129,,
26,19-Jan,0.269,1,40.09677419,1.202903226,,
27,19-Jan,0.331,1,50.09677419,1.502903226,,
28,19-Jan,0.278,1,41.5483871,1.246451613,,
29,19-Jan,0.436,1,67.03225806,2.010967742,,
30,19-Jan,0.351,1,53.32258065,1.599677419,,
31,16-Jan,0.349,1,51.01587302,1.53047619,,
32,16-Jan,0.538,1,81.01587302,2.43047619,,
33,16-Jan,0.204,1,28,0.84,,
35,16-Jan,0.277,1,39.58730159,1.187619048,,
36,16-Jan,0.356,1,52.12698413,1.563809524,,
37,16-Jan,0.474,1,70.85714286,2.125714286,,
38,16-Jan,0.715,1,109.1111111,3.273333333,,
39,16-Jan,0.644,1,97.84126984,2.935238095,,
40,16-Jan,0.521,1,78.31746032,2.34952381,,
41,19-Jan,0.448,1,68.96774194,2.069032258,,
42,19-Jan,0.528,1,81.87096774,2.456129032,,
43,19-Jan,0.401,1,61.38709677,1.841612903,,
44,19-Jan,0.631,1,98.48387097,2.954516129,,
45,19-Jan,0.305,1,45.90322581,1.377096774,,
46,19-Jan,0.213,1,31.06451613,0.931935484,,
47,19-Jan,0.39,1,59.61290323,1.788387097,,
48,19-Jan,0.333,1,50.41935484,1.512580645,,
49,19-Jan,0.289,1,43.32258065,1.299677419,,
50,19-Jan,0.377,1,57.51612903,1.725483871,,
51,21-Jan,0.193,1,28.0483871,0.841451613,,
52,21-Jan,0.541,1,84.17741935,2.525322581,,
53,21-Jan,0.185,1,26.75806452,0.802741935,,
55,21-Jan,0.159,1,22.56451613,0.676935484,,
56,21-Jan,0.241,1,35.79032258,1.073709677,,
57,21-Jan,0.498,1,77.24193548,2.317258065,,
58,21-Jan,0.721,1,113.2096774,3.396290323,,
59,21-Jan,0.688,1,107.8870968,3.236612903,,
60,21-Jan,0.428,1,65.9516129,1.978548387,,
61,19-Jan,0.954,1,150.5806452,4.517419355,,
62,19-Jan,0.75,1,117.6774194,3.530322581,,
63,19-Jan,0.482,1,74.4516129,2.233548387,,
64,19-Jan,0.518,1,80.25806452,2.407741935,,
65,19-Jan,0.317,1,47.83870968,1.43516129,,
66,19-Jan,0.414,1,63.48387097,1.904516129,,
67,19-Jan,0.625,1,97.51612903,2.925483871,,
68,19-Jan,1.112,2,352.1290323,10.56387097,,
69,19-Jan,0.465,1,71.70967742,2.151290323,,
70,19-Jan,0.184,1,26.38709677,0.791612903,,
71,16-Jan,0.846,1,129.9047619,3.897142857,,
72,16-Jan,0.957,1,147.5238095,4.425714286,,
73,16-Jan,1.003,1,154.8253968,4.644761905,,
74,16-Jan,0.698,1,106.4126984,3.192380952,,
75,16-Jan,0.216,1,29.9047619,0.897142857,,
76,16-Jan,0.242,1,34.03174603,1.020952381,,
77,16-Jan,0.285,1,40.85714286,1.225714286,,
78,16-Jan,0.292,1,41.96825397,1.259047619,,
79,16-Jan,0.229,1,31.96825397,0.959047619,,
80,23-Feb,1.067,1,172.0983607,5.16295082,,
81,23-Feb,0.146,1,21.1147541,0.633442623,,
82,23-Feb,0.297,1,45.86885246,1.376065574,,
83,23-Feb,0.152,1,22.09836066,0.66295082,,
84,23-Feb,0.779,1,124.8852459,3.746557377,,
85,23-Feb,0.688,2,219.9344262,6.598032787,,
86,23-Feb,0.614,1,97.83606557,2.935081967,,
87,23-Feb,0.561,1,89.14754098,2.67442623,,
88,23-Feb,0.311,4,192.6557377,5.779672131,,
89,23-Feb,0.594,2,189.1147541,5.673442623,This concentration value may be too low--blank at end of run had absorbance -0.044,
90,23-Feb,0.936,1,150.6229508,4.518688525,,
91,23-Feb,0.647,1,103.2459016,3.097377049,,
92,23-Feb,1.042,1,168,5.04,,
93,23-Feb,1.072,1,172.9180328,5.187540984,,
94,23-Feb,0.486,1,76.85245902,2.30557377,,
95,23-Feb,0.469,1,74.06557377,2.221967213,,
96,23-Feb,0.388,1,60.78688525,1.823606557,,
97,23-Feb,0.366,1,57.18032787,1.715409836,,
98,23-Feb,0.195,1,29.14754098,0.87442623,,
99,23-Feb,0.275,1,42.26229508,1.267868852,,
