Filter ID ,Proj ID,Lake ID,Site,Trap ID,Deploy ID,Total Water Vol. (mL),Water Vol. Filtered (mL),Comments
1,15,CR,DeepHole,1,1,520,50,filtered entire sample (in 50 mL increments)
2,15,CR,DeepHole,2,1,400,50,filtered entire sample (in 50 mL increments)
3,15,CR,DeepHole,3a,1,500,50,filtered entire sample (in 50 mL increments)
4,15,CR,DeepHole,3b,1,470,50,filtered entire sample (in 50 mL increments)
5,15,WL,DeepHole,1,1,440,50,
6,15,WL,DeepHole,2,1,470,50,
7,15,WL,DeepHole,3a,1,510,50,
8,15,WL,DeepHole,3b,1,490,50,
9,15,EL,DeepHole,1,1,480,50,
10,15,EL,DeepHole,2,1,500,50,
11,15,EL,DeepHole,3a,1,500,50,
12,15,EL,DeepHole,3b,1,490,50,
13,15,HB,DeepHole,1,1,450,50,
14,15,HB,DeepHole,2,1,470,50,
15,15,HB,DeepHole,3a,1,460,50,
16,15,HB,DeepHole,3b,1,480,50,
17,15,MO,DeepHole,1,1,460,50,
18,15,MO,DeepHole,2,1,385,50,
19,15,MO,DeepHole,3a,1,475,50,
20,15,MO,DeepHole,3b,1,475,50,
21,15,CR,DeepHole,1,2,440,50,
22,15,CR,DeepHole,2,2,460,50,
23,15,CR,DeepHole,3a,2,470,50,
24,15,CR,DeepHole,3b,2,460,50,
25,15,WL,DeepHole,1,2,450,50,
26,15,WL,DeepHole,2,2,430,50,
27,15,WL,DeepHole,3a,2,470,50,
28,15,WL,DeepHole,3b,2,420,50,
29,15,EL,DeepHole,1,2,440,50,
30,15,EL,DeepHole,2,2,450,50,
31,15,EL,DeepHole,3a,2,470,50,
32,15,EL,DeepHole,3b,2,470,50,
33,15,HB,DeepHole,1,2,430,50,
34,15,HB,DeepHole,2,2,430,50,
35,15,HB,DeepHole,3a,2,460,50,
36,15,HB,DeepHole,3b,2,480,50,
37,15,MO,DeepHole,1,2,445,50,
38,15,MO,DeepHole,2,2,455,50,
39,15,MO,DeepHole,3a,2,465,50,
40,15,MO,DeepHole,3b,2,450,50,
41,15,CR,DeepHole,1,3,440,50,
42,15,CR,DeepHole,2,3,435,50,
43,15,CR,DeepHole,3a,3,415,50,
44,15,CR,DeepHole,3b,3,480,50,
45,15,WL,DeepHole,1,3,450,50,
46,15,WL,DeepHole,2,3,450,50,
47,15,EL,DeepHole,1,3,440,50,
48,15,EL,DeepHole,2,3,435,50,
49,15,EL,DeepHole,3a,3,465,50,
50,15,EL,DeepHole,3b,3,480,50,
51,15,HB,DeepHole,1,3,450,50,
52,15,HB,DeepHole,2,3,465,50,
53,15,HB,DeepHole,3a,3,480,50,
54,15,HB,DeepHole,3b,3,480,50,
55,15,MO,DeepHole,1,3,460,50,
56,15,MO,DeepHole,2,3,460,50,
57,15,MO,DeepHole,3a,3,480,50,
58,15,MO,DeepHole,3b,3,480,50,
59,15,CR,DeepHole,1,4,450,50,
60,15,CR,DeepHole,2,4,440,50,
61,15,CR,DeepHole,3a,4,490,50,
62,15,CR,DeepHole,3b,4,470,50,
63,15,WL,DeepHole,1,4,450,50,
64,15,WL,DeepHole,2,4,450,50,
65,15,EL,DeepHole,1,4,440,50,
66,15,EL,DeepHole,2,4,450,50,
67,15,EL,DeepHole,3a,4,480,50,
68,15,EL,DeepHole,3b,4,480,50,
69,15,HB,DeepHole,1,4,460,50,
70,15,HB,DeepHole,2,4,450,50,
71,15,HB,DeepHole,3a,4,460,50,
72,15,HB,DeepHole,3b,4,480,50,
73,15,MO,DeepHole,1,4,460,50,
74,15,MO,DeepHole,2,4,460,50,
75,15,MO,DeepHole,3a,4,480,50,
76,15,MO,DeepHole,3b,4,480,50,
77,15,WL,DeepHole,1,5,460,50,
78,15,WL,DeepHole,2,5,485,50,
79,15,EL,DeepHole,1,5,435,50,
80,15,EL,DeepHole,2,5,445,50,
81,15,EL,DeepHole,3a,5,460,50,
82,15,EL,DeepHole,3b,5,470,50,
83,15,HB,DeepHole,1,5,450,50,
84,15,HB,DeepHole,2,5,450,50,
85,15,HB,DeepHole,3a,5,450,52,
86,15,HB,DeepHole,3b,5,470,50,
87,15,MO,DeepHole,1,5,455,50,
88,15,MO,DeepHole,2,5,460,50,
89,15,MO,DeepHole,3a,5,480,55,
90,15,MO,DeepHole,3b,5,545,50,
91,15,CR,DeepHole,1,5,430,50,
92,15,CR,DeepHole,2,5,435,50,
93,15,CR,DeepHole,3a,5,470,50,
94,15,CR,DeepHole,3b,5,470,50,
95,15,WL,DeepHole,1,6,470,50,
96,15,WL,DeepHole,2,6,470,30,
97,15,EL,DeepHole,1,6,500,50,
98,15,EL,DeepHole,2,6,480,50,
99,15,EL,DeepHole,3a,6,530,50,
100,15,EL,DeepHole,3b,6,500,50,
101,15,HB,DeepHole,1,6,470,50,
102,15,HB,DeepHole,2,6,480,50,
103,15,HB,DeepHole,3a,6,530,50,
104,15,HB,DeepHole,3b,6,525,50,
105,15,MO,DeepHole,1,6,510,50,
106,15,MO,DeepHole,2,6,500,50,
107,15,MO,DeepHole,3a,6,490,50,
108,15,MO,DeepHole,3b,6,510,50,
109,15,CR,DeepHole,1,6,450,50,
110,15,CR,DeepHole,2,6,450,50,
111,15,CR,DeepHole,3a,6,550,50,
112,15,CR,DeepHole,3b,6,500,50,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
