Filter ID ,Proj ID,Lake ID,Site,Trap ID,Deploy ID,Total Water Vol. (mL),Water Vol. Filtered (mL),Comments
1,15,MO,DH,1,1,422,50,
2,15,MO,DH,2,1,442,50,
3,15,MO,DH,3A,1,455,50,
4,15,MO,DH,3B,1,467,50,
5,15,EL,DH,1,1,465,50,
6,15,EL,DH,2,1,489,50,
7,15,EL,DH,3A,1,505,50,
8,15,EL,DH,3B,1,554,50,
9,15,WL,DH,1,1,460,50,
10,15,WL,DH,2,1,479,50,
11,15,WL,DH,3A,1,532,50,
12,15,WL,DH,3B,1,515,50,
13,15,HB,DH,1,1,517,50,
14,15,HB,DH,2,1,,,Indicator float missing
15,15,HB,DH,3A,1,530,50,
16,15,HB,DH,3B,1,535,50,
17,15,CR,DH,1,1,438,50,
18,15,CR,DH,2,1,425,50,
19,15,CR,DH,3A,1,446,50,
20,15,CR,DH,3B,1,470,50,
21,15,MO,DH,1,2,432,50,
22,15,MO,DH,2,2,444,50,
23,15,MO,DH,3A,2,445,50,
24,15,MO,DH,3B,2,465,50,
25,15,EL,DH,1,2,419,50,
26,15,EL,DH,2,2,442,50,
27,15,EL,DH,3A,2,470,50,
28,15,EL,DH,3B,2,472,50,
29,15,WL,DH,1,2,430,50,
30,15,WL,DH,2,2,430,50,
31,15,WL,DH,3A,2,460,50,
32,15,WL,DH,3B,2,465,50,
33,15,HB,DH,1,2,435,50,
34,15,HB,DH,2,2,,,still missing
35,15,HB,DH,3A,2,451,50,
36,15,HB,DH,3B,2,467,50,
37,15,CR,DH,1,2,430,50,
38,15,CR,DH,2,2,426,50,
39,15,CR,DH,3A,2,450,50,need to dive to get (7/14/14)
40,15,CR,DH,3B,2,460,50,need to dive to get (7/14/14)
41,15,MO,DH,1,3,424,50,
42,15,MO,DH,2,3,440,50,
43,15,MO,DH,3A,3,468,50,
44,15,MO,DH,3B,3,461,50,
45,15,EL,DH,1,3,430,50,
46,15,EL,DH,2,3,445,50,
47,15,EL,DH,3A,3,469,50,
48,15,EL,DH,3B,3,468,50,
49,15,WL,DH,1,3,437,50,
50,15,WL,DH,2,3,430,50,
51,15,WL,DH,3A,3,468,50,
52,15,WL,DH,3B,3,450,50,
53,15,HB,DH,1,3,439,50,
54,15,HB,DH,2,3,,,still missing
55,15,HB,DH,3A,3,457,50,
56,15,HB,DH,3B,3,460,50,
57,15,CR,DH,1,3,459,50,forgot to reord tv right away guestimate from memory
58,15,CR,DH,2,3,478,50,
59,15,CR,DH,3A,3,435,50,
60,15,CR,DH,3B,3,450,50,
61,15,CR,DH,1,4,375,50,
62,15,CR,DH,2,4,430,50,
63,15,EL,DH,1,4,415,50,
64,15,EL,DH,2,4,440,50,
65,15,EL,DH,3A,4,436,50,
66,15,EL,DH,3B,4,457,50,
67,15,WL,DH,1,4,370,50,
68,15,WL,DH,2,4,430,50,
69,15,WL,DH,3A,4,450,50,
70,15,WL,DH,3B,4,430,50,
71,15,MO,DH,1,4,427,50,
72,15,MO,DH,2,4,440,50,
73,15,MO,DH,3A,4,455,50,
74,15,MO,DH,3B,4,452,55,
75,15,HB,DH,1,4,430,50,
76,15,HB,DH,3A,4,455,50,
77,15,HB,DH,3B,4,455,50,
78,15,CR,DH,3A,4,460,50,
79,15,CR,DH,3B,4,455,50,
80,15,CR,DH,1,5,445,50,
81,15,CR,DH,2,5,465,50,
82,15,CR,DH,3A,5,532,50,
83,15,CR,DH,3B,5,572,50,
84,15,HB,DH,1,5,467,50,
85,15,HB,DH,2,5,675,30,
86,15,HB,DH,3A,5,498,50,
87,15,HB,DH,3B,5,502,50,
88,15,MO,DH,1,5,620,20,
89,15,MO,DH,2,5,615,20,
90,15,MO,DH,3A,5,595,20,
91,15,MO,DH,3B,5,630,20,
92,15,WL,DH,1,5,505,50,
93,15,WL,DH,2,5,490,30,
94,15,WL,DH,3A,5,565,30,
95,15,WL,DH,3B,5,550,30,
96,15,EL,DH,1,5,490,30,
97,15,EL,DH,2,5,420,30,
98,15,EL,DH,3A,5,515,30,
99,15,EL,DH,3B,5,500,30,
