"uniqueID","sampleID","N_mg","C_mg","Proj.ID","Lake.ID","Site","Trap.ID","Deploy.ID","Total.Water.Vol...mL.","Water.Vol..Filtered..mL.","Comments","N_mg_m2","C_mg_m2","deployDuration","C_mg_m2_day","N_mg_m2_day","C_mmol_m2_day","N_mmol_m2_day","datetimeSet","datetimeRetrieved"
"CR 1 1",1,0.8736,6.7808,15,"CR","DeepHole","1",1,520,50,"filtered entire sample (in 50 mL increments)",106.927784577723,829.963280293758,20.8506944444444,39.805066565296,5.12826010963936,3.31405100035767,0.366121232929204,2015-05-21 12:35:00,2015-06-11 09:00:00
"CR 1 2",21,0.4928,4.1184,15,"CR","DeepHole","1",2,440,50,"",60.3182374541004,504.088127294982,14.1041666666667,35.7403694389352,4.27662540294951,2.97563645316253,0.305320582776434,2015-06-11 09:00:00,2015-06-25 11:30:00
"CR 1 3",41,0.4576,4.4704,15,"CR","DeepHole","1",3,440,50,"",56.0097919216646,547.172582619339,13.9166666666667,39.3177903678567,4.02465570694596,3.273481838969,0.287331741768113,2015-06-25 11:30:00,2015-07-09 09:30:00
"CR 1 4",59,0.324,2.772,15,"CR","DeepHole","1",4,450,50,"",39.6572827417381,339.290085679315,14.0208333333333,24.1989957096688,2.82845404398726,2.01473613434925,0.201931465980386,2015-07-09 09:30:00,2015-07-23 10:00:00
"CR 1 5",91,0.4816,2.924,15,"CR","DeepHole","1",5,430,50,"",58.9473684210526,357.894736842105,26.0520833333333,13.737662829605,2.26267387781729,1.14375679207435,0.161538793304583,2015-07-23 10:00:00,2015-08-18 11:15:00
"CR 1 6",109,0.396,3.348,15,"CR","DeepHole","1",6,450,50,"",48.4700122399021,409.791921664627,22.9479166666667,17.8574782023623,2.11217484113963,1.48676031990361,0.150794234392777,2015-08-18 11:15:00,2015-09-10 10:00:00
"CR 2 1",2,0.48,4.224,15,"CR","DeepHole","2",1,400,50,"filtered entire sample (in 50 mL increments)",58.7515299877601,517.013463892289,20.8506944444444,24.7959829477068,2.81772533496668,2.06443950942526,0.201165512598464,2015-05-21 12:35:00,2015-06-11 09:00:00
"CR 2 2",22,0.4416,3.9008,15,"CR","DeepHole","2",2,460,50,"",54.0514075887393,477.454100367197,14.1041666666667,33.8519893908796,3.83230068575995,2.81841556830235,0.273598963786675,2015-06-11 09:00:00,2015-06-25 11:30:00
"CR 2 3",42,0.3828,2.1924,15,"CR","DeepHole","2",3,435,50,"",46.8543451652387,268.347613219094,13.9166666666667,19.2824632253241,3.36677929331056,1.60540031848507,0.240364053209864,2015-06-25 11:30:00,2015-07-09 09:30:00
"CR 2 4",60,0.176,2.3936,15,"CR","DeepHole","2",4,440,50,"",21.5422276621787,292.97429620563,14.0208333333333,20.8956407397775,1.53644417204246,1.73970866204125,0.109691166705395,2015-07-09 09:30:00,2015-07-23 10:00:00
"CR 2 5",92,0.4176,3.7584,15,"CR","DeepHole","2",5,435,50,"",51.1138310893513,460.024479804162,26.0520833333333,17.6578768737303,1.96198631930337,1.47014210921075,0.140071844028226,2015-07-23 10:00:00,2015-08-18 11:15:00
"CR 2 6",110,0.432,5.364,15,"CR","DeepHole","2",6,450,50,"",52.8763769889841,656.548347613219,22.9479166666667,28.6103683027095,2.30419073578868,2.38201384586708,0.164502801155757,2015-08-18 11:15:00,2015-09-10 10:00:00
"CR 3a 1",3,0.52,3.16,15,"CR","DeepHole","3a",1,500,50,"filtered entire sample (in 50 mL increments)",63.6474908200734,386.780905752754,20.8506944444444,18.550025121864,3.05253577954724,1.54441970875564,0.217929305315002,2015-05-21 12:35:00,2015-06-11 09:00:00
"CR 3a 2",23,0.2632,3.3088,15,"CR","DeepHole","3a",2,470,50,"",32.2154222766218,404.99388004896,14.1041666666667,28.7144848483753,2.28410674930258,2.39068227860921,0.163068947619232,2015-06-11 09:00:00,2015-06-25 11:30:00
"CR 3a 3",43,0.3652,2.4568,15,"CR","DeepHole","3a",3,415,50,"",44.7001223990208,300.709914320685,13.9166666666667,21.6078980350193,3.21198484304341,1.79900907793017,0.229312832372629,2015-06-25 11:30:00,2015-07-09 09:30:00
"CR 3a 4",61,0.2352,3.1752,15,"CR","DeepHole","3a",4,490,50,"",28.7882496940024,388.641370869033,14.0208333333333,27.7188496310752,2.05324812082038,2.30778866298186,0.146587286415391,2015-07-09 09:30:00,2015-07-23 10:00:00
"CR 3a 5",93,0.3008,2.444,15,"CR","DeepHole","3a",5,470,50,"",36.8176254589963,299.143206854345,26.0520833333333,11.4825061407506,1.41323152501545,0.955999179148327,0.100894661598876,2015-07-23 10:00:00,2015-08-18 11:15:00
"CR 3a 6",111,0.264,2.596,15,"CR","DeepHole","3a",6,550,50,"",32.3133414932681,317.747858017136,22.9479166666667,13.8464795141376,1.40811656075975,1.15281654434581,0.100529489595185,2015-08-18 11:15:00,2015-09-10 10:00:00
"CR 3b 1",4,0.3384,3.0456,15,"CR","DeepHole","3b",1,470,50,"filtered entire sample (in 50 mL increments)",41.4198286413709,372.778457772338,20.8506944444444,17.8784672503636,1.98649636115151,1.48850780537537,0.141821686381917,2015-05-21 12:35:00,2015-06-11 09:00:00
"CR 3b 2",24,0.3312,3.3856,15,"CR","DeepHole","3b",2,460,50,"",40.5385556915545,414.394124847001,14.1041666666667,29.3809719241596,2.87422551431996,2.44617200267751,0.205199222840006,2015-06-11 09:00:00,2015-06-25 11:30:00
"CR 3b 3",44,0.4608,3.6096,15,"CR","DeepHole","3b",3,480,50,"",56.4014687882497,441.811505507956,13.9166666666667,31.7469345275178,4.05280015244908,2.64315498522336,0.289341054647611,2015-06-25 11:30:00,2015-07-09 09:30:00
"CR 3b 4",62,0.3384,2.7824,15,"CR","DeepHole","3b",4,470,50,"",41.4198286413709,340.563035495716,14.0208333333333,24.2897855925622,2.95416311260892,2.02229502893699,0.210906197801736,2015-07-09 09:30:00,2015-07-23 10:00:00
"CR 3b 5",94,0.1504,2.1808,15,"CR","DeepHole","3b",5,470,50,"",18.4088127294982,266.927784577723,26.0520833333333,10.245928556362,0.706615762507727,0.853045421393892,0.0504473307994379,2015-07-23 10:00:00,2015-08-18 11:15:00
"CR 3b 6",112,0.16,1.76,15,"CR","DeepHole","3b",6,500,50,"",19.5838433292534,215.422276621787,22.9479166666667,9.38744373839834,0.853403976218031,0.781570538539534,0.060926963391021,2015-08-18 11:15:00,2015-09-10 10:00:00
