"uniqueID","sampleID","N_mg","C_mg","Proj.ID","Lake.ID","Site","Trap.ID","Deploy.ID","Total.Water.Vol...mL.","Water.Vol..Filtered..mL.","Comments","N_mg_m2","C_mg_m2","deployDuration","C_mg_m2_day","N_mg_m2_day","C_mmol_m2_day","N_mmol_m2_day","datetimeSet","datetimeRetrieved"
"EL 1 1",9,0.5376,4.9536,15,"EL","DeepHole","1",1,480,50,"",65.8017135862913,606.315789473684,21.9791666666667,27.585931653779,2.99382203994501,2.29672230903164,0.213737562643322,2015-05-20 10:45:00,2015-06-11 10:15:00
"EL 1 2",29,0.2816,2.992,15,"EL","DeepHole","1",2,440,50,"",34.4675642594859,366.217870257038,14.03125,26.100160018319,2.45648564878296,2.17302139857788,0.175375572840934,2015-06-11 10:15:00,2015-06-25 11:00:00
"EL 1 3",47,0.5632,5.28,15,"EL","DeepHole","1",3,440,50,"",68.9351285189719,646.266829865361,14.1666666666667,45.6188350493196,4.86600907192742,3.79808800677043,0.347398377377556,2015-06-25 11:00:00,2015-07-09 15:00:00
"EL 1 4",65,0.4928,3.168,15,"EL","DeepHole","1",4,440,50,"",60.3182374541004,387.760097919217,14,27.6971498513726,4.30844553243574,2.30598200411062,0.307592313303044,2015-07-09 15:00:00,2015-07-23 15:00:00
"EL 1 5",79,0.348,3.132,15,"EL","DeepHole","1",5,435,50,"",42.5948592411261,383.353733170135,25.8020833333333,14.8574720970258,1.65083023300287,1.23698876838113,0.117857516456262,2015-07-23 15:00:00,2015-08-18 10:15:00
"EL 1 6",97,0.32,2.48,15,"EL","DeepHole","1",6,500,50,"",39.1676866585067,303.549571603427,23.0729166666667,13.1560988144149,1.69756113734386,1.09533750848513,0.121193770068099,2015-08-18 10:15:00,2015-09-10 12:00:00
"EL 2 1",10,0.52,5.04,15,"EL","DeepHole","2",1,500,50,"",63.6474908200734,616.891064871481,21.9791666666667,28.0670816244844,2.89581000887538,2.33678141907289,0.206740201961546,2015-05-20 10:45:00,2015-06-11 10:15:00
"EL 2 2",30,0.432,3.384,15,"EL","DeepHole","2",2,450,50,"",52.8763769889841,414.198286413709,14.03125,29.5196996998634,3.76847230211022,2.45772206309745,0.269042071971887,2015-06-11 10:15:00,2015-06-25 11:00:00
"EL 2 3",48,0.4176,3.8628,15,"EL","DeepHole","2",3,435,50,"",51.1138310893513,472.802937576499,14.1666666666667,33.3743250054,3.60803513571891,2.77864665768046,0.25758800140779,2015-06-25 11:00:00,2015-07-09 15:00:00
"EL 2 4",66,0.756,4.5,15,"EL","DeepHole","2",4,450,50,"",92.5336597307221,550.795593635251,14,39.3425424025179,6.60954712362301,3.27554261947531,0.471874571544443,2015-07-09 15:00:00,2015-07-23 15:00:00
"EL 2 5",80,0.4272,3.7736,15,"EL","DeepHole","2",5,445,50,"",52.2888616891065,461.884944920441,25.8020833333333,17.9010717449989,2.02653642396214,1.49038978811081,0.144680261580791,2015-07-23 15:00:00,2015-08-18 10:15:00
"EL 2 6",98,0.3456,3.4176,15,"EL","DeepHole","2",6,480,50,"",42.3011015911873,418.310893512852,23.0729166666667,18.1299529468324,1.83336602833137,1.50944575362854,0.130889271673547,2015-08-18 10:15:00,2015-09-10 12:00:00
"EL 3a 1",11,1.36,10.08,15,"EL","DeepHole","3a",1,500,50,"",166.462668298654,1233.78212974296,21.9791666666667,56.1341632489689,7.57365694628945,4.67356283814577,0.540705143591736,2015-05-20 10:45:00,2015-06-11 10:15:00
"EL 3a 2",31,0.3384,2.7824,15,"EL","DeepHole","3a",2,470,50,"",41.4198286413709,340.563035495716,14.03125,24.2717530865544,2.95196996998634,2.02079369632457,0.210749623044645,2015-06-11 10:15:00,2015-06-25 11:00:00
"EL 3a 3",49,0.372,2.3064,15,"EL","DeepHole","3a",3,465,50,"",45.5324357405141,282.301101591187,14.1666666666667,19.9271365829073,3.2140542875657,1.6590738975029,0.229460575966709,2015-06-25 11:00:00,2015-07-09 15:00:00
"EL 3a 4",67,NA,2.2656,15,"EL","DeepHole","3a",4,480,50,"",NA,277.307221542228,14,19.8076586815877,NA,1.64912652415184,NA,2015-07-09 15:00:00,2015-07-23 15:00:00
"EL 3a 5",81,0.2944,2.9808,15,"EL","DeepHole","3a",5,460,50,"",36.0342717258262,364.84700122399,25.8020833333333,14.1402148233763,1.39656442700013,1.17727206921791,0.0997047495538036,2015-07-23 15:00:00,2015-08-18 10:15:00
"EL 3a 6",99,0.3816,2.12,15,"EL","DeepHole","3a",6,530,50,"",46.7074663402693,259.485924112607,23.0729166666667,11.2463425349031,2.02434165628255,0.936336902414708,0.144523570806208,2015-08-18 10:15:00,2015-09-10 12:00:00
"EL 3b 1",12,0.4312,4.4296,15,"EL","DeepHole","3b",1,490,50,"",52.7784577723378,542.178702570379,21.9791666666667,24.6678461832969,2.40129476120589,2.05377122498517,0.171435336703498,2015-05-20 10:45:00,2015-06-11 10:15:00
"EL 3b 2",32,0.2256,2.5568,15,"EL","DeepHole","3b",2,470,50,"",27.6132190942472,312.949816401469,14.03125,22.3037731065635,1.9679799799909,1.85694555878474,0.14049974869643,2015-06-11 10:15:00,2015-06-25 11:00:00
"EL 3b 3",50,0.192,2.7648,15,"EL","DeepHole","3b",3,480,50,"",23.500611995104,338.408812729498,14.1666666666667,23.8876808985528,1.65886672906617,1.98881699263615,0.118431265015076,2015-06-25 11:00:00,2015-07-09 15:00:00
"EL 3b 4",68,0.192,2.4576,15,"EL","DeepHole","3b",4,480,50,"",23.500611995104,300.807833537332,14,21.4862738240951,1.67861514250743,1.78888300924945,0.11984116102716,2015-07-09 15:00:00,2015-07-23 15:00:00
"EL 3b 5",82,0.2632,2.632,15,"EL","DeepHole","3b",5,470,50,"",32.2154222766218,322.154222766218,25.8020833333333,12.4855895783435,1.24855895783435,1.03951291135988,0.089138213595656,2015-07-23 15:00:00,2015-08-18 10:15:00
"EL 3b 6",100,0.24,1.56,15,"EL","DeepHole","3b",6,500,50,"",29.3757649938801,190.94247246022,23.0729166666667,8.27561054455131,1.27317085300789,0.689002626305163,0.090895327551074,2015-08-18 10:15:00,2015-09-10 12:00:00
