"uniqueID","sampleID","N_mg","C_mg","Proj.ID","Lake.ID","Site","Trap.ID","Deploy.ID","Total.Water.Vol...mL.","Water.Vol..Filtered..mL.","Comments","N_mg_m2","C_mg_m2","deployDuration","C_mg_m2_day","N_mg_m2_day","C_mmol_m2_day","N_mmol_m2_day","datetimeSet","datetimeRetrieved"
"HB 1 1",13,0.288,2.34,15,"HB","DeepHole","1",1,450,50,"",35.2509179926561,286.41370869033,21.0104166666667,13.6319861349885,1.67778290892166,1.13495846598855,0.119781745478808,2015-05-21 10:30:00,2015-06-11 10:45:00
"HB 1 2",33,0.2064,2.5112,15,"HB","DeepHole","1",2,430,50,"",25.2631578947368,307.368421052632,13.96875,22.0040032968327,1.80854821617803,1.83198761941826,0.129117456712931,2015-06-11 10:45:00,2015-06-25 10:00:00
"HB 1 3",51,0.396,3.312,15,"HB","DeepHole","1",3,450,50,"",48.4700122399021,405.385556915545,14.0729166666667,28.8060795439617,3.44420516286499,2.39830817949894,0.245891708636038,2015-06-25 10:00:00,2015-07-09 11:45:00
"HB 1 4",69,0.4784,3.6064,15,"HB","DeepHole","1",4,460,50,"",58.5556915544676,441.419828641371,14.0104166666667,31.5065453900161,4.17943969459397,2.62314090333994,0.298382215648887,2015-07-09 11:45:00,2015-07-23 12:00:00
"HB 1 5",83,0.288,2.808,15,"HB","DeepHole","1",5,450,50,"",35.2509179926561,343.696450428397,25.90625,13.2669317415063,1.3607109478468,1.10456512709235,0.0971450665986147,2015-07-23 12:00:00,2015-08-18 09:45:00
"HB 1 6",101,0.4512,3.7224,15,"HB","DeepHole","1",6,470,50,"",55.2264381884945,455.61811505508,23.0451388888889,19.77068210575,2.39644631584849,1.64604796484473,0.171089192250195,2015-08-18 09:45:00,2015-09-10 10:50:00
"HB 2 1",14,0.4136,3.7224,15,"HB","DeepHole","2",1,470,50,"",50.6242350061199,455.61811505508,21.0104166666667,21.6853440978124,2.40948267753471,1.80545700589563,0.172019895590399,2015-05-21 10:30:00,2015-06-11 10:45:00
"HB 2 2",34,0.344,2.8208,15,"HB","DeepHole","2",2,430,50,"",42.1052631578947,345.263157894737,13.96875,24.7168256210997,3.01424702696338,2.0578491067438,0.215195761188219,2015-06-11 10:45:00,2015-06-25 10:00:00
"HB 2 3",52,0.4464,4.6128,15,"HB","DeepHole","2",3,465,50,"",54.6389228886169,564.602203182375,14.0729166666667,40.1197716547061,3.88255854722962,3.34025240651953,0.277187017007898,2015-06-25 10:00:00,2015-07-09 11:45:00
"HB 2 4",70,0.288,2.88,15,"HB","DeepHole","2",4,450,50,"",35.2509179926561,352.509179926561,14.0104166666667,25.1605065226393,2.51605065226393,2.09478865395382,0.179628089688294,2015-07-09 11:45:00,2015-07-23 12:00:00
"HB 2 5",84,1.368,8.676,15,"HB","DeepHole","2",5,450,50,"",167.441860465116,1061.93390452876,25.90625,40.9914173038847,6.46337700227228,3.41282302088791,0.46143906634342,2015-07-23 12:00:00,2015-08-18 09:45:00
"HB 2 6",102,0.6144,4.8768,15,"HB","DeepHole","2",6,480,50,"",75.2019583843329,596.915544675643,23.0451388888889,25.9020154989581,3.26324604711283,2.15652447747549,0.232972517106649,2015-08-18 09:45:00,2015-09-10 10:50:00
"HB 3a 1",15,0.6256,4.8944,15,"HB","DeepHole","3a",1,460,50,"",76.5728274173807,599.06976744186,21.0104166666667,28.5129884355075,3.64451731882427,2.37390628886084,0.260192569345632,2015-05-21 10:30:00,2015-06-11 10:45:00
"HB 3a 2",35,0.4048,3.128,15,"HB","DeepHole","3a",2,460,50,"",49.547123623011,382.864137086903,13.96875,27.4086183149461,3.54699766428714,2.2819597298265,0.25323036084009,2015-06-11 10:45:00,2015-06-25 10:00:00
"HB 3a 3",53,0.4224,3.648,15,"HB","DeepHole","3a",3,480,50,"",51.7013463892289,446.511627906977,14.0729166666667,31.728435439726,3.67381884038932,2.64161480640463,0.262284489211774,2015-06-25 10:00:00,2015-07-09 11:45:00
"HB 3a 4",71,1.2144,7.4704,15,"HB","DeepHole","3a",4,460,50,"",148.641370869033,914.36964504284,14.0104166666667,65.2635583078904,10.6093469170462,5.43364901406131,0.757431778185637,2015-07-09 11:45:00,2015-07-23 12:00:00
"HB 3a 5",85,0.553846153846154,3.87692307692308,15,"HB","DeepHole","3a",5,450,52,"",67.790226908954,474.531588362678,25.90625,18.3172627594761,2.6167518227823,1.52504060939773,0.186817435766567,2015-07-23 12:00:00,2015-08-18 09:45:00
"HB 3a 6",103,0.7208,6.6144,15,"HB","DeepHole","3a",6,530,50,"",88.2252141982864,809.596083231334,23.0451388888889,35.1308832259491,3.82836547975086,2.92489245074924,0.273318018116004,2015-08-18 09:45:00,2015-09-10 10:50:00
"HB 3b 1",16,0.7296,6.0288,15,"HB","DeepHole","3b",1,480,50,"",89.3023255813953,737.919216646267,21.0104166666667,35.1215888934267,4.2503833692682,2.92411863237255,0.303447088546312,2015-05-21 10:30:00,2015-06-11 10:45:00
"HB 3b 2",36,0.3072,3.1872,15,"HB","DeepHole","3b",2,480,50,"",37.6009791921665,390.110159118727,13.96875,27.9273491986561,2.69179269384637,2.32514771448306,0.192174819293665,2015-06-11 10:45:00,2015-06-25 10:00:00
"HB 3b 3",54,0.3072,3.264,15,"HB","DeepHole","3b",3,480,50,"",37.6009791921665,399.510403916769,14.0729166666667,28.3886001302811,2.67186824755587,2.36355008994098,0.190752355790381,2015-06-25 10:00:00,2015-07-09 11:45:00
"HB 3b 4",72,0.2688,2.7648,15,"HB","DeepHole","3b",4,480,50,"",32.9008567931457,338.408812729498,14.0104166666667,24.1540862617337,2.348313942113,2.01099710779566,0.167652883709074,2015-07-09 11:45:00,2015-07-23 12:00:00
"HB 3b 5",86,0.4136,3.8352,15,"HB","DeepHole","3b",5,470,50,"",50.6242350061199,469.424724602203,25.90625,18.1201341221598,1.95413211121332,1.50862826760135,0.139511109531899,2015-07-23 12:00:00,2015-08-18 09:45:00
"HB 3b 6",104,0.924,7.182,15,"HB","DeepHole","3b",6,525,50,"",113.096695226438,879.06976744186,23.0451388888889,38.145561703067,4.90761612554079,3.17588558014046,0.350368824554922,2015-08-18 09:45:00,2015-09-10 10:50:00
