"uniqueID","sampleID","N_mg","C_mg","Proj.ID","Lake.ID","Site","Trap.ID","Deploy.ID","Total.Water.Vol...mL.","Water.Vol..Filtered..mL.","Comments","N_mg_m2","C_mg_m2","deployDuration","C_mg_m2_day","N_mg_m2_day","C_mmol_m2_day","N_mmol_m2_day","datetimeSet","datetimeRetrieved"
"MO 1 1",17,1.0304,7.7648,15,"MO","DeepHole","1",1,460,50,"",126.119951040392,950.403916768666,20.09375,47.298484193775,6.2765761015436,3.93793057978311,0.448102812989477,2015-05-22 09:00:00,2015-06-11 11:15:00
"MO 1 2",37,0.2492,2.136,15,"MO","DeepHole","1",2,445,50,"",30.5018359853121,261.444308445532,13.90625,18.8004895960832,2.19339045287638,1.56527263309327,0.156592450408823,2015-06-11 11:15:00,2015-06-25 09:00:00
"MO 1 3",55,0.4784,2.3184,15,"MO","DeepHole","1",3,460,50,"",58.5556915544676,283.769889840881,14.0833333333333,20.1493412904768,4.15780058374918,1.67757399804153,0.296837337313427,2015-06-25 09:00:00,2015-07-09 11:00:00
"MO 1 4",73,0.6624,4.8944,15,"MO","DeepHole","1",4,460,50,"",81.0771113831089,599.06976744186,14,42.7906976744186,5.79122224165064,3.56262573261332,0.413452005543702,2015-07-09 11:00:00,2015-07-23 11:00:00
"MO 1 5",87,0.8736,6.006,15,"MO","DeepHole","1",5,455,50,"",106.927784577723,735.128518971848,25.90625,28.3764928915551,4.12748987513528,2.36254207739198,0.294673368682465,2015-07-23 11:00:00,2015-08-18 08:45:00
"MO 1 6",105,1.4688,11.0568,15,"MO","DeepHole","1",6,510,50,"",179.779681762546,1353.34149326805,23.0729166666667,58.6549811980737,7.79180562040831,4.8834386144429,0.556279404612573,2015-08-18 08:45:00,2015-09-10 10:30:00
"MO 2 1",18,0.2464,2.3716,15,"MO","DeepHole","2",1,385,50,"",30.1591187270502,290.281517747858,20.09375,14.4463585815419,1.50092037210825,1.20276068450103,0.107155020497484,2015-05-22 09:00:00,2015-06-11 11:15:00
"MO 2 2",38,0.364,3.64,15,"MO","DeepHole","2",2,455,50,"",44.5532435740514,445.532435740514,13.90625,32.0382875139246,3.20382875139246,2.66741216500913,0.228730545540977,2015-06-11 11:15:00,2015-06-25 09:00:00
"MO 2 3",56,0.368,3.2384,15,"MO","DeepHole","2",3,460,50,"",45.0428396572827,396.376988984088,14.0833333333333,28.1451116438406,3.19830814134552,2.34327796551832,0.228336413318021,2015-06-25 09:00:00,2015-07-09 11:00:00
"MO 2 4",74,0.4048,3.68,15,"MO","DeepHole","2",4,460,50,"",49.547123623011,450.428396572827,14,32.1734568980591,3.5390802587865,2.67866596437092,0.252665114498929,2015-07-09 11:00:00,2015-07-23 11:00:00
