"uniqueID","sampleID","N_mg","C_mg","Proj.ID","Lake.ID","Site","Trap.ID","Deploy.ID","Total.Water.Vol...mL.","Water.Vol..Filtered..mL.","Comments","N_mg_m2","C_mg_m2","deployDuration","C_mg_m2_day","N_mg_m2_day","C_mmol_m2_day","N_mmol_m2_day","datetimeSet","datetimeRetrieved"
"WL 1 1",5,0.9152,7.5328,15,"WL","DeepHole","1",1,440,50,"",112.019583843329,922.007343941248,22.03125,41.849978732085,5.08457685530005,3.48430428208184,0.363002559812954,2015-05-20 09:15:00,2015-06-11 10:00:00
"WL 1 2",25,0.432,3.744,15,"WL","DeepHole","1",2,450,50,"",52.8763769889841,458.261933904529,14.0208333333333,32.6843578416306,3.77127205864968,2.72120205158859,0.269241954640514,2015-06-11 10:00:00,2015-06-25 10:30:00
"WL 1 3",45,0.792,6.588,15,"WL","DeepHole","1",3,450,50,"",96.9400244798042,806.364749082007,14.1354166666667,57.0457007456689,6.85795309510774,4.74945472863782,0.489608988013689,2015-06-25 10:30:00,2015-07-09 13:45:00
"WL 1 4",63,1.008,4.68,15,"WL","DeepHole","1",4,450,50,"",123.378212974296,572.827417380661,14.0104166666667,40.8858230992888,8.80617728292374,3.40403156267495,0.628698313909027,2015-07-09 13:45:00,2015-07-23 14:00:00
"WL 1 5",77,1.2512,9.752,15,"WL","DeepHole","1",5,460,50,"",153.145654834761,1193.63525091799,25.8333333333333,46.2052355194062,5.92821889682947,3.84690995915462,0.42323259062108,2015-07-23 14:00:00,2015-08-18 10:00:00
"WL 1 6",95,1.0528,8.7984,15,"WL","DeepHole","1",6,470,50,"",128.861689106487,1076.91554467564,23.0625,46.6955249723856,5.58749871464443,3.8877299952032,0.398907597247407,2015-08-18 10:00:00,2015-09-10 11:30:00
"WL 2 1",6,0.376,4.9256,15,"WL","DeepHole","2",1,470,50,"",46.0220318237454,602.888616891065,22.03125,27.3651570787434,2.08894328845369,2.27834127705798,0.149135667056021,2015-05-20 09:15:00,2015-06-11 10:00:00
"WL 2 2",26,0.5504,4.5408,15,"WL","DeepHole","2",2,430,50,"",67.3684210526316,555.789473684211,14.0208333333333,39.6402596386955,4.80487995620552,3.30032966769591,0.343034194060507,2015-06-11 10:00:00,2015-06-25 10:30:00
"WL 2 3",46,0.468,3.816,15,"WL","DeepHole","2",3,450,50,"",57.2827417380661,467.074663402693,14.1354166666667,33.0428649127918,4.0524268289273,2.75105027997601,0.289314402008089,2015-06-25 10:30:00,2015-07-09 13:45:00
"WL 2 4",64,0.828,5.544,15,"WL","DeepHole","2",4,450,50,"",101.346389228886,678.580171358629,14.0104166666667,48.4339750560806,7.23364562525879,4.03246815886109,0.516430757853844,2015-07-09 13:45:00,2015-07-23 14:00:00
"WL 2 5",78,1.7072,12.3384,15,"WL","DeepHole","2",5,485,50,"",208.959608323133,1510.20807833537,25.8333333333333,58.4596675484661,8.08875903186323,4.86717738310433,0.577479762394748,2015-07-23 14:00:00,2015-08-18 10:00:00
"WL 2 6",96,2.19333333333333,15.98,15,"WL","DeepHole","2",6,470,30,"",268.461852305182,1955.93635250918,23.0625,84.8102483472815,11.6406223221759,7.06104806821093,0.831057494265431,2015-08-18 10:00:00,2015-09-10 11:30:00
"WL 3a 1",7,0.9384,6.2016,15,"WL","DeepHole","3a",1,510,50,"",114.859241126071,759.06976744186,22.03125,34.4542305789213,5.21346910075783,2.8685563715695,0.372204547780241,2015-05-20 09:15:00,2015-06-11 10:00:00
"WL 3a 2",27,0.6392,4.2488,15,"WL","DeepHole","3a",2,470,50,"",78.2374541003672,520.048959608323,14.0208333333333,37.0911590805342,5.5800858793724,3.08809916580919,0.398378373625501,2015-06-11 10:00:00,2015-06-25 10:30:00
"WL 3b 1",8,0.6664,7.3304,15,"WL","DeepHole","3b",1,490,50,"",81.5667074663403,897.233782129743,22.03125,40.7255050044706,3.70231863677005,3.39068395674553,0.264319171612055,2015-05-20 09:15:00,2015-06-11 10:00:00
"WL 3b 2",28,0.6384,4.8384,15,"WL","DeepHole","3b",2,420,50,"",78.1395348837209,592.215422276622,14.0208333333333,42.2382470568764,5.57310204222675,3.51663034359141,0.397879777413204,2015-06-11 10:00:00,2015-06-25 10:30:00
